route,source,destination,total_flights,average_duration_minutes,overnight_flights,anomalous_flights
BOM - CCU,BOM,CCU,90,169.51,16,0
CCU - DEL,CCU,DEL,72,153.61,11,0
MAA - BLR,MAA,BLR,65,172.82,8,0
BLR - BOM,BLR,BOM,60,147.73,7,0
HYD - MAA,HYD,MAA,57,152.81,5,0
DEL - HYD,DEL,HYD,54,174.76,6,0
HYD - DEL,HYD,DEL,42,185.36,9,0
BOM - DEL,BOM,DEL,39,153.82,3,0
CCU - BOM,CCU,BOM,33,163.97,1,0
DEL - BLR,DEL,BLR,29,170.03,3,0
DEL - BOM,DEL,BOM,28,178.11,5,0
BOM - MAA,BOM,MAA,27,183.41,5,0
BOM - HYD,BOM,HYD,26,180.85,4,0
HYD - BOM,HYD,BOM,26,149.92,3,0
MAA - DEL,MAA,DEL,26,155.96,2,0
HYD - CCU,HYD,CCU,26,167.15,2,0
HYD - BLR,HYD,BLR,26,162.77,2,0
DEL - CCU,DEL,CCU,26,151.73,3,0
MAA - CCU,MAA,CCU,24,158.54,1,0
CCU - MAA,CCU,MAA,24,171.29,3,0
BOM - BLR,BOM,BLR,23,176.52,1,0
DEL - MAA,DEL,MAA,23,178.78,4,0
BLR - CCU,BLR,CCU,21,128.52,4,0
CCU - HYD,CCU,HYD,21,152.24,1,0
MAA - BOM,MAA,BOM,21,176.76,4,0
MAA - HYD,MAA,HYD,21,160.0,0,0
CCU - BLR,CCU,BLR,20,167.35,3,0
BLR - DEL,BLR,DEL,19,156.95,1,0
BLR - HYD,BLR,HYD,19,155.68,3,0
BLR - MAA,BLR,MAA,16,187.31,2,0
