booking_key,booking_id,flight_id,passenger_key,booking_date_key,status,seat_number,is_confirmed,is_cancelled,is_pending
1,B1000,AI192,592,20250614,CANCELLED,3D,False,True,False
2,B1001,6F026,804,20251102,CANCELLED,18A,False,True,False
3,B1002,SJ010,84,20250825,CANCELLED,30C,False,True,False
4,B1003,AI069,365,20251230,CONFIRMED,33A,True,False,False
5,B1004,UK003,886,20251002,PENDING,25C,False,False,True
6,B1005,AI048,549,20250831,CONFIRMED,13D,True,False,False
7,B1006,AI140,342,20250629,CANCELLED,17F,False,True,False
8,B1007,UK167,839,20260312,CONFIRMED,22E,True,False,False
9,B1008,AI245,407,20250907,PENDING,34F,False,False,True
10,B1009,SJ158,425,20250428,CANCELLED,33C,False,True,False
11,B1010,AI155,744,20251124,CONFIRMED,15B,True,False,False
12,B1011,AI179,93,20251025,CONFIRMED,22C,True,False,False
13,B1012,AI137,848,20250815,PENDING,28B,False,False,True
14,B1013,SJ001,614,20250720,CONFIRMED,26E,True,False,False
15,B1014,SJ172,412,20250915,PENDING,21E,False,False,True
16,B1015,UK094,432,20251021,INVALID,6F,False,False,False
17,B1016,UK027,678,20260113,CANCELLED,6A,False,True,False
18,B1017,UK067,159,20260404,CONFIRMED,13B,True,False,False
19,B1018,6F196,14,20260325,CANCELLED,19B,False,True,False
20,B1019,6F164,373,20250731,CANCELLED,19A,False,True,False
21,B1020,SJ112,225,20251206,CONFIRMED,27B,True,False,False
22,B1021,6F190,505,20251207,CANCELLED,4E,False,True,False
23,B1022,AI080,73,20260325,CONFIRMED,16F,True,False,False
24,B1023,6F213,249,20260203,PENDING,24B,False,False,True
25,B1024,AI115,511,20250621,PENDING,30F,False,False,True
26,B1025,SJ049,603,20260318,PENDING,1B,False,False,True
27,B1026,AI058,216,20250627,CONFIRMED,32C,True,False,False
28,B1027,UK036,973,20250725,CONFIRMED,22A,True,False,False
29,B1028,SJ239,602,20250525,CANCELLED,26E,False,True,False
30,B1029,6F025,541,20250606,CANCELLED,19C,False,True,False
31,B1030,6F236,947,20260318,CANCELLED,21E,False,True,False
32,B1031,AI060,817,20251116,CANCELLED,1E,False,True,False
33,B1032,UK021,939,20250903,CANCELLED,18E,False,True,False
34,B1033,UK026,988,20250506,INVALID,19A,False,False,False
35,B1034,SJ179,220,20251231,CONFIRMED,22F,True,False,False
36,B1035,6F251,840,20250821,PENDING,11D,False,False,True
37,B1036,SJ149,727,20251124,PENDING,5B,False,False,True
38,B1037,AI188,221,20260320,PENDING,33E,False,False,True
