flight_key,flight_id,airline_key,route_key,departure_date_key,arrival_date_key,departure_time,arrival_time,duration_minutes,is_overnight,is_anomaly
1,SJ010,3,15,20260420,20260421,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,True,False
2,AI155,1,7,20260420,20260421,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,True,False
3,UK094,5,7,20260420,20260421,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,True,False
4,AI245,1,7,20260420,20260421,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,True,False
5,AI192,1,27,20260420,20260421,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,True,False
6,SJ158,3,19,20260420,20260421,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,True,False
7,6F196,2,15,20260420,20260421,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,False
8,AI080,1,9,20260420,20260421,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,True,False
9,6F025,2,1,20260420,20260420,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,False
10,6F251,4,16,20260420,20260420,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,False
11,AI137,1,8,20260420,20260421,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,True,False
12,6F026,2,7,20260420,20260421,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,False
13,UK167,5,20,20260420,20260421,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,True,False
14,UK027,5,7,20260420,20260421,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,True,False
15,AI069,4,17,20260420,20260421,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,True,False
16,AI058,1,7,20260420,20260421,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,True,False
17,AI140,1,8,20260420,20260421,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,True,False
18,SJ239,3,7,20260420,20260421,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,True,False
19,6F099,2,29,20260420,20260420,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,False
20,AI048,1,13,20260420,20260421,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,True,False
21,SJ112,3,24,20260420,20260421,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,True,False
