payment_key,payment_id,booking_key,payment_method_key,amount,amount_valid,payment_status
1,PAY1000,117,2,9883.49,True,VALID
2,PAY1001,739,2,8457.96,True,VALID
3,PAY1002,874,3,6495.37,True,VALID
4,PAY1003,915,2,5079.38,True,VALID
5,PAY1004,968,1,12518.31,True,VALID
6,PAY1005,999,1,7319.71,True,VALID
7,PAY1006,545,1,8020.26,True,VALID
8,PAY1007,44,3,8291.6,True,VALID
9,PAY1008,509,1,7277.14,True,VALID
10,PAY1009,988,1,4585.24,True,VALID
11,PAY1010,165,3,2684.77,True,VALID
12,PAY1011,368,1,2379.52,True,VALID
13,PAY1012,857,1,11604.48,True,VALID
14,PAY1013,292,2,4129.39,True,VALID
15,PAY1014,849,3,1779.42,True,VALID
16,PAY1015,856,1,12165.24,True,VALID
17,PAY1016,917,1,3156.86,True,VALID
18,PAY1017,898,1,9752.05,True,VALID
19,PAY1018,799,1,,False,INVALID
20,PAY1019,876,2,,False,INVALID
21,PAY1020,737,2,6802.73,True,VALID
22,PAY1021,286,2,1207.32,True,VALID
23,PAY1022,204,2,12774.63,True,VALID
24,PAY1023,684,3,8188.97,True,VALID
25,PAY1024,524,1,,False,INVALID
26,PAY1025,819,2,4317.72,True,VALID
27,PAY1026,121,1,,False,INVALID
28,PAY1027,945,3,3644.17,True,VALID
29,PAY1028,756,1,4760.39,True,VALID
30,PAY1029,664,1,8481.4,True,VALID
31,PAY1030,664,2,12656.53,True,VALID
32,PAY1031,188,2,6625.76,True,VALID
33,PAY1032,907,3,11037.65,True,VALID
34,PAY1033,13,1,,False,INVALID
35,PAY1034,603,2,4028.21,True,VALID
36,PAY1035,200,2,12300.69,True,VALID
37,PAY1036,586,2,11603.63,True,VALID
38,PAY1037,768,3,5997.12,True,VALID
39,PAY1038,456,1,14853.28,True,VALID
40,PAY1039,448,2,4676.01,True,VALID
41,PAY1040,788,1,4567.25,True,VALID
42,PAY1041,840,3,11811.63,True,VALID
43,PAY1042,841,1,7085.2,True,VALID
44,PAY1043,71,2,5631.13,True,VALID
45,PAY1044,590,1,3501.28,True,VALID
46,PAY1045,796,1,11714.65,True,VALID
47,PAY1046,130,3,12008.51,True,VALID
48,PAY1047,889,3,8931.9,True,VALID
49,PAY1048,43,1,14402.39,True,VALID
50,PAY1049,520,1,5454.29,True,VALID
51,PAY1050,13,1,4074.67,True,VALID
52,PAY1051,725,3,10484.53,True,VALID
53,PAY1052,623,3,11617.72,True,VALID
54,PAY1053,988,1,4148.68,True,VALID
55,PAY1054,803,3,2072.55,True,VALID
56,PAY1055,535,2,12347.23,True,VALID
57,PAY1056,302,3,14671.03,True,VALID
58,PAY1057,766,3,10025.41,True,VALID
59,PAY1058,527,3,4890.14,True,VALID
60,PAY1059,642,2,14953.42,True,VALID
61,PAY1060,573,2,,False,INVALID
62,PAY1061,115,2,8187.33,True,VALID
63,PAY1062,460,1,12554.5,True,VALID
64,PAY1063,832,1,12421.49,True,VALID
65,PAY1064,505,2,14087.19,True,VALID
66,PAY1065,308,1,12772.93,True,VALID
67,PAY1066,932,1,10011.51,True,VALID
68,PAY1067,963,1,9530.25,True,VALID
69,PAY1068,325,2,7543.0,True,VALID
70,PAY1069,579,3,,False,INVALID
71,PAY1070,761,2,12133.03,True,VALID
72,PAY1071,175,2,,False,INVALID
73,PAY1072,851,1,7542.02,True,VALID
74,PAY1073,514,1,9031.14,True,VALID
75,PAY1074,172,3,7227.28,True,VALID
76,PAY1075,997,3,10358.84,True,VALID
77,PAY1076,960,3,9818.89,True,VALID
