payment_id,booking_id,amount,payment_method,dq_rule,dq_severity,dq_reason
PAY1019,B1875,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1033,B1012,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1077,B1501,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1173,B1722,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1213,B1725,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1244,B1844,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1249,B1816,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1290,B1605,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1323,B1314,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1408,B1146,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1428,B1490,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1433,B1225,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1448,B1235,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1450,B1227,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1488,B1763,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1534,B1010,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1576,B1581,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1590,B1144,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1677,B1756,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1683,B1045,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1700,B1140,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1739,B1443,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1756,B1699,INVALID,NETBANKING,PY003,HIGH,Non-numeric payment amount
PAY1778,B1576,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1817,B1367,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1832,B1173,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1850,B1369,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1852,B1151,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1897,B1106,INVALID,UPI,PY003,HIGH,Non-numeric payment amount
PAY1981,B1324,INVALID,CARD,PY003,HIGH,Non-numeric payment amount
PAY1018,B1798,,CARD,PY004,HIGH,Missing payment amount
PAY1024,B1523,,CARD,PY004,HIGH,Missing payment amount
