dataset,column,dtype,missing_count,missing_percentage,unique_count
flights,flight_id,object,0,0.0,1004
flights,airline,object,41,4.02,5
flights,source,object,0,0.0,6
flights,destination,object,0,0.0,6
flights,departure_time,datetime64[ns],0,0.0,981
flights,arrival_time,datetime64[ns],0,0.0,969
flights,duration,object,0,0.0,270
bookings,booking_id,object,0,0.0,1000
bookings,passenger_id,object,0,0.0,636
bookings,flight_id,object,0,0.0,984
bookings,booking_date,datetime64[ns],0,0.0,552
bookings,status,object,45,4.5,4
bookings,passport_number,object,0,0.0,1000
bookings,seat_number,object,0,0.0,202
bookings,emergency_contact_name,object,0,0.0,998
bookings,emergency_contact_phone,object,0,0.0,1000
passengers,passenger_id,object,0,0.0,1000
passengers,first_name,object,0,0.0,31
passengers,last_name,object,10,0.96,38
passengers,age,int64,0,0.0,89
passengers,gender,object,0,0.0,2
passengers,email,object,0,0.0,1039
passengers,phone,object,0,0.0,1039
passengers,aadhaar_id,int64,0,0.0,1039
passengers,date_of_birth,datetime64[ns],0,0.0,1011
payments,payment_id,object,0,0.0,1000
payments,booking_id,object,0,0.0,637
payments,amount,object,48,4.8,922
payments,payment_method,object,0,0.0,3
